source	id	status	jp_byte_len	jp	ko	tokens
constmsg.dat	16	untranslated	69	[ 隊列変更 ]\n任意の隊列に\n変更する\n実行待機時間48G秒\n実行所要時間0G秒		
constmsg.dat	17	untranslated	73	[ 陸戦 ]\n碇泊状態から\n陸戦を投下する\n実行待機時間48G秒\n実行所要時間240G秒		
constmsg.dat	18	untranslated	75	[ 陸戦解除 ]\n陸戦ユニットを\n帰還させる\n実行待機時間48G秒\n実行所要時間240G秒		
constmsg.dat	19	untranslated	66	[ 要塞砲 ]\n要塞砲を\n発射する\n実行待機時間48G秒\n実行所要時間1800G秒		
constmsg.dat	20	untranslated	74	[ 態勢変更 ]\nユニットの態勢を変更する\n実行待機時間48G秒\n実行所要時間240G秒		
constmsg.dat	21	untranslated	68	[ 出撃 ]\n駐留状態から碇泊状態へ\n実行待機時間48G秒\n実行所要時間240G秒		
constmsg.dat	22	untranslated	62	[ 所属変更 ]\n所属部隊を変更\n実行待機時間48G秒\n実行所要時間0G秒		
constmsg.dat	23	untranslated	63	[ 撤退 ]\n戦術から離脱する\n実行待機時間48G秒\n実行所要時間1800G秒		
constmsg.dat	24	untranslated	70	[ 任務 ]\n麾下の戦隊に対し指令を下す\n実行待機時間48G秒\n実行所要時間0G秒		
constmsg.dat	25	untranslated	82	[ 修理 ]\n工作艦による修理を行う\n注）旗艦の右\n実行待機時間48G秒\n実行所要時間1800G秒		
constmsg.dat	26	untranslated	82	[ 補給 ]\n補給艦による補給を行う\n注）旗艦の左\n実行待機時間48G秒\n実行所要時間1800G秒		
constmsg.dat	27	untranslated	66	[ 緊急補給 ]\n緊急補給可能にする\n実行待機時間48G秒\n実行所要時間0G秒		
constmsg.dat	28	untranslated	37	[ 一斉攻撃 ]\n破壊力大、連続攻撃性低し		
constmsg.dat	29	untranslated	37	[ 連続攻撃 ]\n破壊力小、連続攻撃性高し		
constmsg.dat	30	untranslated	23	[ 攻撃停止 ]\n攻撃を停止		
constmsg.dat	31	untranslated	14	[ ビーム兵装 ]		
constmsg.dat	32	untranslated	12	[ ガン兵装 ]		
constmsg.dat	33	untranslated	16	[ ミサイル兵装 ]		
constmsg.dat	34	untranslated	23	[ 対空 ]\n空戦隊への攻撃		
constmsg.dat	35	untranslated	8	[ 遊撃 ]		
constmsg.dat	36	untranslated	8	[ 防衛 ]		
constmsg.dat	37	untranslated	8	[ 占領 ]		
constmsg.dat	38	untranslated	8	[ 迎撃 ]		
constmsg.dat	39	untranslated	8	[ 偵察 ]		
constmsg.dat	40	untranslated	8	[ 撤退 ]		
constmsg.dat	41	untranslated	10	[ 左反転 ]		
constmsg.dat	42	untranslated	10	[ 右反転 ]		
constmsg.dat	43	untranslated	8	[ 防御 ]		
constmsg.dat	44	untranslated	8	[ 紡錘 ]		
constmsg.dat	45	untranslated	10	[ 艦種１ ]		
constmsg.dat	46	untranslated	10	[ 艦種２ ]		
constmsg.dat	47	untranslated	10	[ 混成１ ]		
constmsg.dat	48	untranslated	10	[ 混成２ ]		
constmsg.dat	49	untranslated	17	[ 散開 ]\n隊列解除		
constmsg.dat	50	untranslated	8	[ 三列 ]		
constmsg.dat	51	untranslated	37	[ 駐留 ]惑星／要塞に駐留\n自陣営に限る		
constmsg.dat	52	untranslated	18	[ 航行 ]通常モード		
constmsg.dat	53	untranslated	30	[ 戦闘 ]攻撃性重視、機動性低下		
constmsg.dat	54	untranslated	30	[ 碇泊 ]惑星／要塞軌道上に碇泊		
constmsg.dat	55	untranslated	31	[ 遊撃任務 ]\n　敵ユニットを選択		
constmsg.dat	56	untranslated	31	[ 防衛任務 ]\n　味方ベースを選択		
constmsg.dat	57	untranslated	29	[ 占領任務 ]\n　敵ベースを選択		
constmsg.dat	58	untranslated	31	[ 迎撃任務 ]\n　敵ユニットを選択		
constmsg.dat	59	untranslated	31	[ 偵察任務 ]\n　敵ユニットを選択		
constmsg.dat	60	untranslated	13	[ 撤退任務 ]\n		
constmsg.dat	61	untranslated	96	[迎撃]\n空戦隊を発艦させ、敵空戦隊を攻撃します\nまた、既に発艦している空戦隊で敵空戦隊を攻撃します		
constmsg.dat	62	untranslated	92	[対艦攻撃]\n空戦隊を発艦させ、敵艦を攻撃します\nまた、既に発艦している空戦隊で敵艦を攻撃します		
constmsg.dat	63	untranslated	35	[着艦]\n発艦した空戦隊を着艦させます		
constmsg.dat	64	untranslated	82	戦術全体マップ\nマップを左クリックすることにより、\nカメラ位置を移動する事ができます		
constmsg.dat	65	untranslated	39	旗艦の各装備に\nエネルギーを振り分けます		
constmsg.dat	66	untranslated	32	ここから戦術コマンドを選択します		
constmsg.dat	67	untranslated	85	各階級ラダー最上位の人物を一階級昇格します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	68	untranslated	96	各階級ラダー最上位以外の人物を\n任意に一階級昇格します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	69	untranslated	96	各階級ラダー最上位以外の人物を\n任意に一階級降格します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	70	untranslated	102	貴族出身で一定以上の階級をもつ人物に、\n新たな爵位を授けます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	71	untranslated	94	階級などの条件を満たしている人物に、\n勲章を授けます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	72	untranslated	81	特定の人物に、新たな職務権限を与えます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	73	untranslated	77	特定人物を任意の職務から解任します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	74	untranslated	66	当該職務権限を放棄します。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	75	untranslated	94	男爵以上の爵位を有する特定の人物に、\n封土を授けます。\n消費MCP640\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	76	untranslated	83	特定の人物が所有する封土を直轄に戻します。\n消費MCP640\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	77	untranslated	128	特定の人物を自らの首都邸宅に招いて夜会を行います。\n夜会の成果により影響力が変化します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	78	untranslated	159	特定の人物を自らの封土である惑星の邸宅に招いて狩猟を行います。\n狩猟の成果により招待客との\n友好度と影響力が変化します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	79	untranslated	139	特定の人物を自ら滞在するホテルの一室に\n招いて会談を行います。\n会談の成果により影響力が変化します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	80	untranslated	158	特定の人物を自ら滞在するホテルの一室に\n招いて談話を行います。\n談話の成果により招待客との\n友好度と影響力が変化します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	81	untranslated	145	惑星/要塞の中央広場で演説を行います。\n演説の成果により、影響力と当該惑星/要塞の\n政府支持率が増減します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	82	untranslated	75	我が国家の戦略的目標を策定します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	83	untranslated	91	各惑星/要塞から納入される税金の\n割合を変更します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	84	untranslated	79	各輸入品目に課す、関税率を変更します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	85	untranslated	95	国家予算から、特定の惑星/要塞への\n援助金を捻出します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	86	untranslated	79	拘禁されている人物の処断を決定します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	87	untranslated	81	フェザーンに対し、様々な交渉を行います。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	88	untranslated	89	特定の惑星/要塞に対して、戦略的目標を提示します。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	89	untranslated	77	我が軍の戦略的目標を策定します。\n消費MCP80～320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	90	untranslated	82	既に計画されている作戦を中止します。\n消費MCP10～1280\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	91	untranslated	90	既に発動している作戦に実行部隊を割り当てます。\n消費MCP1～320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	92	untranslated	83	部隊を結成するため、ユニットを編成します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	93	untranslated	69	既存のの部隊を解散させます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	94	untranslated	161	受講者の能力パラメータを増加させます。\n講義は、120G分または実行スポットを離れるまで行われます。\n士官学校でのみ実行可能。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	95	untranslated	140	特定の惑星/要塞を対象とした輸送パッケージを作成します。\n作成されたパッケージは輸送倉庫に移動します。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	96	untranslated	62	輸送計画を中止します。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	97	untranslated	79	税率変更\n惑星／要塞の\n税率を変更します\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	98	untranslated	84	施設建設\n生産、防衛などの\n各施設を建設します\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	99	untranslated	80	施設休止\n施設の稼動を\n一時的に休止します\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	100	untranslated	82	施設再稼動\n休止中の施設の\n稼動を再開します\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	101	untranslated	65	施設破棄\n施設を破棄します\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	102	untranslated	73	艦艇建造\n艦艇ユニットを生産します\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	103	untranslated	89	募兵\n惑星／要塞の人口から\n兵員ユニットを募ります\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	104	untranslated	89	予算配分\n地方予算を\n治安、生産などに振り分けます\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	105	untranslated	82	調査\n惑星／要塞の状態を\n調査し、報告します\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	106	untranslated	8	航路貿易		
constmsg.dat	107	untranslated	8	船団貿易		
constmsg.dat	108	untranslated	84	エンジン建設\n要塞の推進システムを\n建設します\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	109	untranslated	91	メッセージ変更\n惑星／要塞のプロフィールを作成します\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	110	untranslated	99	任意のグリッドへ移動します。\n宇宙空間でのみ実行可能。\n消費MCP80～320\n実行待機？G時間\n実行所要0G時間		
constmsg.dat	111	untranslated	75	ワープ燃料の補給を行います。\n消費MCP160\n実行待機8G時間\n実行所要48～960G時間		
constmsg.dat	112	untranslated	77	星系グリッド内の惑星間を移動します。\n消費MCP160\n実行待機8G時間\n実行所要0G時間		
constmsg.dat	113	untranslated	88	軍紀維持度を増加して、混乱発生率を低下させます。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	114	untranslated	68	部隊の訓練度を増加させます。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	115	untranslated	68	陸戦の訓練度を増加させます。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	116	untranslated	68	空戦の訓練度を増加させます。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	117	untranslated	76	陸戦に関する戦術スキルを習得します。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	118	untranslated	76	空戦に関する戦術スキルを習得します。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	119	untranslated	104	駐留中の陸戦隊によって、惑星/要塞の\n治安維持率を増加させます。\n消費MCP160\n実行待機24G時間\n実行所要0G時間		
constmsg.dat	120	untranslated	143	駐留中の陸戦隊によって、惑星/要塞の\n治安維持率を増加させます。\n政府支持率が低下する可能性もあります。\n消費MCP160\n実行待機24G時間\n実行所要0G時間		
constmsg.dat	121	untranslated	99	駐留中の陸戦隊によって、惑星の政府支持率を\n増加させます。\n消費MCP160\n実行待機24G時間\n実行所要0G時間		
constmsg.dat	122	untranslated	90	特定の警戒スポットの警備態勢をさらに強化します。\n消費MCP160\n実行待機0G時間\n実行所要24G時間		
constmsg.dat	123	untranslated	96	占領した他勢力の惑星/要塞から、軍需物資を\n徴発します。\n消費MCP160\n実行待機24G時間\n実行所要0G時間		
constmsg.dat	124	untranslated	97	惑星/要塞上での出撃に備え、全陸戦隊を\n駐留させます。\n消費MCP80～320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	125	untranslated	94	駐留させている、自部隊の全陸戦隊を\n撤収させます。\n消費MCP80～320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	126	untranslated	69	周辺グリッドの索敵を行います\n消費MCP240\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	127	untranslated	79	惑星／要塞への\n駐留、停泊を切り替えます\n消費MCP40\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	128	untranslated	155	損傷状態の旗艦及び全艦艇ユニットを修理します。\nこのコマンドを実行するのに、部隊の保有する\n全軍需物資を消費します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	129	untranslated	81	任意の部隊に対し、軍需物資を補給します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	130	untranslated	87	部隊に所属するユニット編成の見直しを行います。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	131	untranslated	106	消耗した艦艇ユニットに、艦艇、乗組員、\n軍需物資の補充を行います。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	132	untranslated	105	特定の惑星/要塞を対象に作成された\n輸送パッケージを搬出入します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	133	untranslated	4	解役		
constmsg.dat	134	untranslated	127	惑星/要塞に在庫している各ユニット、軍需物資を、\n各部隊専用ストックに割り当てます。\n消費MCP80～320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	135	untranslated	84	惑星/要塞に滞在する特定の人物を捜索します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	136	untranslated	95	同陣営に所属する、特定の人物を逮捕リストに登録します。\n消費MCP800\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	137	untranslated	122	特定の人物に、逮捕リストに登録されている\nいずれかの人物を逮捕する権限を与えます。\n消費MCP800\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	138	untranslated	126	同一スポットまたは同一空間グリッドの同一部隊に存在する、\n特定の人物の逮捕を試みます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	139	untranslated	71	クーデターの兆候を察知します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	140	untranslated	132	同一スポットに滞在する特定の人物に襲撃を試みます。\n対象となるのは、他陣営の人物に限ります。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	141	untranslated	155	同一スポットに滞在する特定の人物に監視をつけます。\nこのコマンドは、対象人物に露見しない限り、\n監視が続行されます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	142	untranslated	77	特定の施設内のスポットに潜入します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	143	untranslated	81	潜入しているスポットから脱出を試みます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	144	untranslated	95	特定の施設から得られる情報を獲得し、本国に送信します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	145	untranslated	81	潜入した戦略施設に時限爆弾を仕掛けます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	146	untranslated	103	市民を煽動する事により、惑星/要塞の\n政府支持率を低下させます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	147	untranslated	101	偽造パラメータを作成し、他勢力の惑星/要塞に\n侵入を試みます。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	148	untranslated	96	侵入した惑星/要塞より、同陣営の惑星/要塞に\n帰還します。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	149	untranslated	73	惑星/要塞上の施設間を移動します。\n消費MCP10\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	150	untranslated	71	施設内のスポット間を移動します。\n消費MCP5\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	151	untranslated	123	軍役を退き、政治家となります。\n退役した後、30G日間は志願コマンドを使用できません。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	152	untranslated	116	政治職を退き、軍人となります。\n階級は少佐となり、旗艦は戦艦に変更されます。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	153	untranslated	114	他勢力に亡命します。\n亡命後、首都星に拘禁され、処断を待つこととなります。\n消費MCP320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	154	untranslated	99	同一スポットに滞在する人物と会見を行い、\n友好度を上げます。\n消費MCP10\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	155	untranslated	71	クーデターの首謀者となります。\n消費MCP640\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	156	untranslated	106	同一スポットに滞在する人物に、クーデターへの\n参加交渉を行います。\n消費MCP640\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	157	untranslated	106	所属する部隊に配備されているユニットの\n叛乱忠誠度を上昇させます。\n消費MCP640\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	158	untranslated	73	クーデターを実行に移します。\n消費MCP80～320\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	159	untranslated	88	参加交渉に同意しているクーデターに\n参加します。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	160	untranslated	96	能力パラメータを増加させます。\n士官学校でのみ実行可能。\n消費MCP160\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	161	untranslated	103	シミュレータによる戦術訓練を行います。\n士官学校でのみ実効可能。\n消費MCP10\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	162	untranslated	152	私的口座より、資金を投入します。\n自身の統治する惑星に資金援助したり、最高権力者の\n支持率を操作する事ができます。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	163	untranslated	97	新しい旗艦を購入します。\n購入には評価ポイントが必要です。\n消費MCP80\n実行待機0G時間\n実行所要0G時間		
constmsg.dat	164	untranslated	30	戦略用の職務権限コマンドを一覧		
constmsg.dat	165	untranslated	39	同スポットに存在する\nキャラクターを一覧		
constmsg.dat	166	untranslated	34	自身の所有する職務権限カードを一覧		
constmsg.dat	167	untranslated	69	自身に権限のないコマンドを、\n権限を持っているキャラクターと共同で実行		
constmsg.dat	168	untranslated	45	キャラクターの顔の\n表示、非表示を切り替えます		
constmsg.dat	169	untranslated	53	星系に存在する惑星の統治陣営情報を\n戦略マップ上に表示		
constmsg.dat	170	untranslated	34	グリッドの座標を戦略マップ上に表示		
constmsg.dat	171	untranslated	49	索敵範囲と味方陣営の認識範囲を\n戦略マップ上に表示		
constmsg.dat	172	untranslated	22	戦略マップの拡大、縮小		
constmsg.dat	173	untranslated	14	戦略マップ表示		
constmsg.dat	174	untranslated	20	現在スポット画面表示		
constmsg.dat	175	untranslated	47	駐留又は停泊している\n惑星／要塞のステータス表示		
constmsg.dat	176	untranslated	30	所属部隊との同航／単独航行切替		
constmsg.dat	177	untranslated	18	メッセンジャー起動		
constmsg.dat	178	untranslated	14	各種情報を閲覧		
constmsg.dat	179	untranslated	22	オフライン時の各種設定		
constmsg.dat	180	untranslated	20	各種設定、ゲーム終了		
constmsg.dat	181	untranslated	10	メール起動		
constmsg.dat	182	untranslated	51	現在実行待機または実行処理中のコマンドを\n一覧します		
constmsg.dat	183	untranslated	4	統一		
constmsg.dat	184	untranslated	4	中立		
constmsg.dat	185	untranslated	4	帝国		
constmsg.dat	186	untranslated	4	同盟		
constmsg.dat	187	untranslated	4	海賊		
constmsg.dat	188	untranslated	6	正規軍		
constmsg.dat	189	untranslated	6	叛乱軍		
constmsg.dat	190	untranslated	4	個人		
constmsg.dat	191	untranslated	4	皇帝		
constmsg.dat	192	untranslated	16	帝国軍最高司令官		
constmsg.dat	193	untranslated	8	幕僚総監		
constmsg.dat	194	untranslated	10	大本営参謀		
constmsg.dat	195	untranslated	8	帝国宰相		
constmsg.dat	196	untranslated	8	国務尚書		
constmsg.dat	197	untranslated	8	内務尚書		
constmsg.dat	198	untranslated	8	財務尚書		
constmsg.dat	199	untranslated	8	宮内尚書		
constmsg.dat	200	untranslated	8	司法尚書		
constmsg.dat	201	untranslated	8	典礼尚書		
constmsg.dat	202	untranslated	8	科学尚書		
constmsg.dat	203	untranslated	12	内閣書記官長		
constmsg.dat	204	untranslated	24	フェザーン駐在高等弁務官		
constmsg.dat	205	untranslated	20	フェザーン駐在補佐官		
constmsg.dat	206	untranslated	18	フェザーン駐在武官		
constmsg.dat	207	untranslated	8	軍務尚書		
constmsg.dat	208	untranslated	10	軍務省次官		
constmsg.dat	209	untranslated	14	軍務省人事局長		
constmsg.dat	210	untranslated	14	軍務省調査局長		
constmsg.dat	211	untranslated	12	軍務省参事官		
constmsg.dat	212	untranslated	12	統帥本部総長		
constmsg.dat	213	untranslated	12	統帥本部次長		
constmsg.dat	214	untranslated	20	統帥本部作戦一課課長		
constmsg.dat	215	untranslated	20	統帥本部作戦二課課長		
constmsg.dat	216	untranslated	20	統帥本部作戦三課課長		
constmsg.dat	217	untranslated	14	統帥本部監察官		
constmsg.dat	218	untranslated	16	宇宙艦隊司令長官		
constmsg.dat	219	untranslated	18	宇宙艦隊副司令長官		
constmsg.dat	220	untranslated	16	宇宙艦隊総参謀長		
constmsg.dat	221	untranslated	12	宇宙艦隊参謀		
constmsg.dat	222	untranslated	8	憲兵総監		
constmsg.dat	223	untranslated	10	憲兵副総監		
constmsg.dat	224	untranslated	14	装甲擲弾兵総監		
constmsg.dat	225	untranslated	16	装甲擲弾兵副総監		
constmsg.dat	226	untranslated	12	科学技術総監		
constmsg.dat	227	untranslated	10	士官学校長		
constmsg.dat	228	untranslated	12	士官学校教官		
constmsg.dat	229	untranslated	10	艦隊司令官		
constmsg.dat	230	untranslated	12	艦隊副司令官		
constmsg.dat	231	untranslated	10	艦隊参謀長		
constmsg.dat	232	untranslated	8	艦隊参謀		
constmsg.dat	233	untranslated	14	艦隊司令官副官		
constmsg.dat	234	untranslated	14	輸送艦隊司令官		
constmsg.dat	235	untranslated	16	輸送艦隊副司令官		
constmsg.dat	236	untranslated	18	輸送艦隊司令官副官		
constmsg.dat	237	untranslated	10	巡察隊司令		
constmsg.dat	238	untranslated	12	巡察隊副司令		
constmsg.dat	239	untranslated	14	巡察隊司令副官		
constmsg.dat	240	untranslated	14	地上部隊指揮官		
constmsg.dat	241	untranslated	10	要塞司令官		
constmsg.dat	242	untranslated	16	要塞守備隊指揮官		
constmsg.dat	243	untranslated	12	要塞事務総監		
constmsg.dat	244	untranslated	8	惑星総督		
constmsg.dat	245	untranslated	16	惑星守備隊指揮官		
constmsg.dat	246	untranslated	14	帝都防衛司令官		
constmsg.dat	247	untranslated	10	近衛兵総監		
constmsg.dat	248	untranslated	6	諜報官		
constmsg.dat	249	untranslated	4	艦長		
constmsg.dat	250	untranslated	14	公爵／公爵夫人		
constmsg.dat	251	untranslated	14	侯爵／侯爵夫人		
constmsg.dat	252	untranslated	14	伯爵／伯爵夫人		
constmsg.dat	253	untranslated	14	子爵／子爵夫人		
constmsg.dat	254	untranslated	14	男爵／男爵夫人		
constmsg.dat	255	untranslated	8	帝国騎士		
constmsg.dat	256	untranslated	4	封土		
constmsg.dat	257	untranslated	6	政治家		
constmsg.dat	258	untranslated	4	盟主		
constmsg.dat	259	untranslated	6	副盟主		
constmsg.dat	260	untranslated	8	幕僚総監		
constmsg.dat	261	untranslated	10	大本営参謀		
constmsg.dat	262	untranslated	8	帝国宰相		
constmsg.dat	263	untranslated	8	国務尚書		
constmsg.dat	264	untranslated	8	内務尚書		
constmsg.dat	265	untranslated	8	財務尚書		
constmsg.dat	266	untranslated	8	宮内尚書		
constmsg.dat	267	untranslated	8	司法尚書		
constmsg.dat	268	untranslated	8	典礼尚書		
constmsg.dat	269	untranslated	8	科学尚書		
constmsg.dat	270	untranslated	12	内閣書記官長		
constmsg.dat	271	untranslated	8	軍務尚書		
constmsg.dat	272	untranslated	10	軍務省次官		
constmsg.dat	273	untranslated	14	軍務省人事局長		
constmsg.dat	274	untranslated	14	軍務省調査局長		
constmsg.dat	275	untranslated	12	軍務省参事官		
constmsg.dat	276	untranslated	12	統帥本部総長		
constmsg.dat	277	untranslated	12	統帥本部次長		
constmsg.dat	278	untranslated	20	統帥本部作戦一課課長		
constmsg.dat	279	untranslated	20	統帥本部作戦二課課長		
constmsg.dat	280	untranslated	20	統帥本部作戦三課課長		
constmsg.dat	281	untranslated	14	統帥本部監察官		
constmsg.dat	282	untranslated	16	宇宙艦隊司令長官		
constmsg.dat	283	untranslated	18	宇宙艦隊副司令長官		
constmsg.dat	284	untranslated	16	宇宙艦隊総参謀長		
constmsg.dat	285	untranslated	12	宇宙艦隊参謀		
constmsg.dat	286	untranslated	8	憲兵総監		
constmsg.dat	287	untranslated	10	憲兵副総監		
constmsg.dat	288	untranslated	14	装甲擲弾兵総監		
constmsg.dat	289	untranslated	16	装甲擲弾兵副総監		
constmsg.dat	290	untranslated	12	科学技術総監		
constmsg.dat	291	untranslated	10	士官学校長		
constmsg.dat	292	untranslated	12	士官学校教官		
constmsg.dat	293	untranslated	10	艦隊司令官		
